ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
487,"On the first day of a voyage, a boat sailed 280 miles and utilized 12 gallons of fuel. On the second day, it sailed 130 miles using up 9 gallons of fuel. What is the average number of miles per gallon the boat used for the entire voyage?",B,14.4 miles per gallon,19.5 miles per gallon,23.3 miles per gallon,37.8 miles per gallon,Found the boat’s miles per gallon for the second day only. 130/9 = 14.44,(280 + 130)/(12 + 9) = 410/21 =19.52,Found the boat’s miles per gallon for the first day only. 280/12 = 23.33,Added the number of miles per gallon for each day day. 280/12 + 130/9 = 23.33 + 14.44 = 37.77
488,"Mr. Green has 16 blue marbles, 14 green marbles, 5 purple marbles, and 15 red marbles in a jar. He randomly selects one marble from the jar. What is the probability that the marble Mr. Green picks is purple or red?",C,0.02,0.2,0.4,0.67,Chose the ratio of one crayon to the total number of crayons. 1/50,Chose the number of purple or red crayons and moved the decimal point.,(5 + 15)/50 = 20/50 = 2/5,Chose the ratio of purple or red to blue or green. 20/30
489,Lily counts the number of video games her 10 friends have. 68  19  19  68  34  94  0  30  0  68. What is the median number of video games the 10 friends have?,A,32,40,51,64,(30 + 34)/2 = 32,Used the mean. (68 + 19 + 19 + 68 + 34 + 94 + 30 + 68)/10 = 400/10 = 40,Did not consider the zeros and found the median. (34 + 68)/2 = 51,Found the median of the unordered data. (34 + 94)/2 = 64
490,"Students voted for their favorite lunch option. Lunch Option Votes: Pizza - 58 votes, Burgers - 120 votes, Salad - 12 votes. What is the probability that a randomly picked student voted for pizza?",A,0.31,0.33,0.44,0.58,58/(58 + 120 + 12) = 58/190 = 30.526%,Used 1 out of 3 activities.,Calculated 58/(12 + 120) = 58/132 = 43.939%.,Used the number of votes for pizza and divided by 100.
491,A construction project uses 3 (1/3) liters of paint to cover an 8 square meter wall. How many liters of paint are required to cover a 30 square meter wall?,B, 8/9 liters, 12 (1/2) liters, 25 (1/3) liters, 26 (2/3) liters,Calculated (3 (1/3))/30 = x/8.,; (3 (1/3))/8 = x/30,Calculated (3 (1/3)) + (30 - 8).,Calculated (3 (1/3)) x 8.
492,"The radius of a car wheel is 13.5 inches. In 1 turn of the wheel, how far will the car  travel? (Use 3.14 for π.)",B,42 inches,85 inches,170 inches,572 inches,Used the radius as the diameter. 3.14 * 13.5 = 42.39,2 * 3.14 * 13.5 = 84.78,Multiplied both pi and the radius by 2. 2 * 3.14 * 2 * 13.5 = 169.56,Found the area. 3.14 * 13.5^2 = 572.625
493,Alice is building a scale model dresser for her dollhouse. The dollhouse is built uses a scale of 1 to 12. The actual dresser is 18 inches wide. How wide does Alice need to make the model dresser for the dollhouse?,C, 1/12 inch, 2/3 inch, 1 (1/2) inches, 2 (1/2) inches,Used the scale., Flipped the proportion. 12/18 = 2/3,18/12 = 1 6/12,Added the actual value and the scale. (18 + 12)/12 = 30/12 = 2 6/12
494,"The equation I = prt is used to determine the interest, I, accumulated in a savings account with an initial deposit of p for a duration of t years at an annual interest rate of r. Sam has $750 that he decides to save in such an account for a period of 3 years without making any further deposits or withdrawals. If the total interest Sam earns is $49.50, what is the yearly interest rate of his savings account?",B,1.50%,2.20%,4.50%,5.10%,Calculated 750/49.5 = 15.1515 and move the decimal point.,49.50 = 750 * 3 * r; r = 49.5/750/3 = 0.022 = 2.2%,Calculated 750 * 3/49.5 = 45.4545 and move the decimal point.,Calculated 750/49.5/3 = 5.0505.
495,A circular garden has a diameter of 50 feet. What is the circumference of the garden? (Use 3.14 for π.),B,16 feet,157 feet,314 feet,"1,963 feet",Divided the diameter by pi. 50/3.14 = 15.9236,50 * 3.14 = 157,Used the diameter as the radius. 3.14 * 50 * 2 = 314,Found the area. 3.14 * (50/2)^2 = 1962.5
496,Lisa is designing a scale drawing of a skyscraper. She uses a scale of 2 inches : 15 feet. The actual height of the skyscraper is 60 feet. What is the height of the skyscraper in the scale drawing?,B,4 inches,8 inches,22.5 inches,30 inches,Divided total feet by scale for feet. 60/15 = 4,2/15 = x/60; x = 60 * 2/15 = 8,Calculated average. (60 - 15)/2 = 45/2 = 22.5,Used total feet and scale for inches. 60/2 = 30
497,"The formula (703w)/h^2 is used to calculate the body mass index, where w means the weight in pounds and h means the height in inches. What would be the estimated body mass index of a person that weighs 135 pounds and has a height of 65 inches?",B,2.5,22.5,163,730,Substituted incorrectly. (65/135^2) * 703 = 2.51,(135/65^2) * 703 = 22.4627,Divided before squaring. (65/135)^2 * 703 = 162.97,Multiplied by 2 instead of squaring. 135/(65 * 2) * 703 = 730.04
498,"Susan uses the formula P = (22.98S)/350 + 15.06 to determine the price, P, of framing an area of S square feet. What is the largest area Susan can frame with $84?",B,20 square feet,"1,050 square feet","1,264 square feet","1,509 square feet",Substituted 84 for S. P = 22.98 * 84/350 + 15.06 = 20.5752,84 = 22.98S/350 + 15.06; S = (84 - 15.06) * 350/22.98 = 1050,Subtracted 15.06 last instead of first. 84 = 22.98S/350 + 15.06; S = 84 * 350/22.98 - 15.06 = 1264.31,Added 15.06 instead of subtracting. 84 = 22.98S/350 + 15.06; S = (84 + 15.06) * 350/22.98 = 1508.75
499,Which of the following statements is correct?,D,All parallelograms are similar.,All rectangles are similar.,All right triangles are similar.,All squares are similar.,Chose similarity because all parallelograms have 2 pairs of parallel sides.,Chose similarity because all rectangles have 4 right angles.,Chose similarity because all have 1 right angle.,All squares have same angles and proportional corresponding sides.
500,Which statement about 2 similar triangles is false?,C,Corresponding angles of the triangles are congruent.,Corresponding heights of the triangles are proportional.,The scale factor for the perimeter is equal to the scale factor for the area.,The scale factor for the sides is equal to the scale factor for the perimeter.,Chose a true statement.,Chose a true statement.,,Chose a true statement.
501,What is the outcome of the initial step in simplifying the formula 2(15 − 4)^3 ?,A, 2 (11)^3 ," 2 (3,375 − 64) ", (30 − 4)^3 , (30 − 8)^3 ,Recognized the first step is to solve the operations inside parentheses.,Distributed the exponent.,Simplified the expression from left to right.,Distributed the 2 before doing the exponent.
502,A cylindrical water tank has a height of 7 inches and a diameter of 3 inches. What is the volume of the tank in cubic inches? (Use 3.14 for π.),A,49.5 cubic inches,65.9 cubic inches,155.3 cubic inches,197.8 cubic inches,3.14 * 1.5^2 * 7 = 49.455,Did not square the radius. 3.14 * 1.5 * 2 * 7 =  65.94,Squared the radius and pi. (3.14 * 1.5)^2 * 7 = 155.2887,Used the diameter squared 3.14 * 3^2 * 7 = 197.82
503,"Each side of a square is 3 inches long. If each of the side length is increased by 3 inches, the area of the new frame is how many times the area of the original square?",C,2,3,4,9,Calculated the relationship between the sides.,Used the change in the length.,Calculated the area of the original square: 3 x 3 = 9 and the area of the new square with each side length increased by 3 inches: 6 x 6 = 36. Then determined that the area of the new square is 4 times the area of the original square. 36/9 = 4.,Squared the change in the length.
504,"Chris has a set of 10 colored tokens. He randomly picks one token, records the color, and puts it back. He does this 50 times and records 14 yellow tokens, 5 blue tokens, and 31 red tokens. How many red tokens are most likely in the set?",D,3,4,5,6,Calculated 1/3 of 10 since there are 3 colors.,Calculated the number of cards not red.,Estimated that the largest number of cards would be 1/2 of 10.,31/50 = x/10; x = 31 * 10/50 = 310/50 = 6 1/5
505,"A photographer makes a scale matching of a 4-inch-by-6-inch photo onto a large canvas. If the longer side of the canvas is 24 inches, what is the length of the shorter side of the canvas?",B,9.6 inches,16 inches,22 inches,36 inches,Added length and width together for denominator.; 4/10 = x/24,; 4/6 = x/24,Added 18 to numerator and denominator.; (4 + 18)/(6 + 18) = x/24,Reversed long and short sides.; 6/4 = x/24
506,"A scale of 1 (1/4) inches = 14 feet is used for a scale drawing of a parking lot. Each parking spot has the width of 7 feet, and there are 71 spots along one side of the lot. How many inches represent that side of the parking lot on the scale drawing?",B, 35 (1/2) inches, 44 (3/8) inches, 177 (1/2) inches, 397 (3/5) inches,Solve for the ratio. 71*7/14 = 71/2 =35.5,71 * 7/14 = x/1.25; x = 35.5 * 1.25 = 44.375,"Doubled the inch scale instead of halving it to find the scale for 7 feet, then multiplied by 71. (2 1/2) * 71 = 177.5",Divided by the scale. 71 * 7/(1.25) = 397.6
507,A cylinder candle has a radius of 1.5 inches and a height of 24 inches. A ribbon is wrapped 1 time around the cylinder candle with no overlap. What is the area of the ribbon used to wrap the cylinder candle? (Use 3.14 for π.),C,113 square inches,170 square inches,226 square inches,240 square inches,Used radius instead of diameter. 1.5 * 24 * 3.14 = 113.04,Volume. 1.5^2 * 24 * 3.14 = 169.56,2 * 1.5 * 24 * 3.14 = 226.08,Includes bases for total surface area. 2 * 1.5 * 24 * 3.14 + 2 * 1.5^2 * 3.14 = 226.08 + 14.13 = 240.21
508,"On a number line, which value is farthest from -3/4?",A, 3 (2/3) , −3 (5/6) , −3 (8/9) , 3 (7/12) ,3 2/3 - (-3/4) = 4 5/12 = 4.41667,Calculated -3 5/6 - (-3/4) = -3.08333.,Calculated -3 8/9 - (-3/4) = -3.138889.,Calculated 3 7/12 - (-3/4) = 4 4/12 = 4.333.
509,A biker covered 390 kilometers on a trail and then the same distance back to the starting point. The biker's average speed was 150 kilometers per 2.5 hours. How many hours did the biker spend biking?,C,3.25 hours,6.5 hours,13 hours,60 hours,Doubled the incorrect kilometers total. 300/2.5 = 390/x,Did not include the return trip. 150/2.5 = 390/x,150/2.5 = 780/x,Calculated the rate per hour. 150 ÷ 2.5
510,"Samantha managed to sell 80% of her homemade cookies at a bake sale. If she sold 28 cookies, how many cookies did she initially bake for the sale?",B,22,35,52,63,Found 80% of 28 and rounded. 0.8 * 28 = 22.4,28/0.8 = 35,Calculated 80 - 28 = 52.,Calculated 28/0.8 = 35; 35 + 28 = 63.
511,"Abby has a bag with 6 orange balls, 4 red balls, and 8 white balls. She randomly picks one ball, checks the color, puts the ball back in the bag, and randomly picks another ball again. What is the probability that Abby picks a red ball both times?",B, 2/51 , 4/81 , 1/9 , 4/9 ,Did not put 1st eraser back. 4/18 * 3/17 = 12/306 = 2/51,(4/18)^2 = (2/9)^2 = 4/81,Calculated 4/(18 + 18)= 4/36 = 1/9.,Calculated (4 * 4)/(18 + 18) = 16/36 = 4/9.
512,Sarah uses 1/3 cup of lemonade mix to make 2 quarts of lemonade. How many cups of lemonade mix does she need to make 2 gallons of lemonade?,C, 1/3 cup, 3/4 cup, 4/3 cups, 16/3 cups,Did not consider the units.,Set up the proportion incorrectly. 2/8 = x/3; x = 2 * 3/8 = 6/8,(1/3)/2 = x/8; x = 8 * (1/3)/2 = 8/6 = 4/3,"Set up the proportion incorrectly, then multiplied instead of dividing by 1/3. (1/3)/2 = 8/x; then thought x = 8 * 2 * (1/3) = 16/3"
513,Calculate the value of [3 (3/4)]^2.,D, 7 (1/2) , 9 (9/16) , 11 (1/4) , 14 (1/16) ,Multiplied each part of the mixed number by 2. (3 * 2) + (3/4 * 2) = 6 6/4= 7 1/2,Squared each part of the mixed number separately. 3^2 + (3/4)^2 = 9 9/16,Raised the whole number and numerator by the exponent. 3^2 + (3^2)/4 = 9 + 9/4 = 11 1/4,(15/4)^2 = 225/16 = 14 1/16
514,Consider the following list of numbers: -1.6  -1.66  -1 (2/3)  -13/8. Which of the following statements about these numbers is correct?,B, − 1.66 ≤ − 13/8 ≤ − 1 (2/3) ≤ − 1.6 , − 1 (2/3) ≤ − 1.66 ≤ − 13/8 ≤ − 1.6 , − 1.6 ≤ − 1.66 ≤ − 13/8 ≤ − 1 (2/3) , − 13/8 ≤ − 1.6 ≤ − 1.66 ≤ − 1 (2/3) ,Made an incorrect comparison.,Recognized that -1.66 repeating is less than -1.66 is less than -1.625 is less than -1.6.,Made an incorrect comparison.,Made an incorrect comparison.
515,Which inequality statement is correct?,C, − 2 (5/6) > − 2.833 , − 2.83¯ > − 2.8 , − 2 (5/6) > − 2.83¯ , − 2.83¯ > − 2.833 ,Chose an incorrect inequality.,Chose an incorrect inequality.,Recognized that -2.833 repeating is greater than -2.83 repeating,Chose an incorrect inequality.
516,"For g = 3/4, m = 1/8, and c = 5/4, calculate the value of 2(g + m) - c.",C, − 3/4 , 3/8 , 1/2 , 13/8 ,Multiplied the 2 by the difference of 7/8 and 5/4.,Worked left to right.,2*7/8 - 5/4 = 14/8 - 10/8 = 4/8 = 1/2,Added the 2.  2 + 3/4 + 1/8 - 5/4 = 16/8 + 7/8 - 10/8 = 13/8
517,Which number can not be represented as a rational number?,D, 3/9 ,0.39, 3.3939¯ , 3.393993999… ,Chose a rational number.,Chose a rational number.,Chose a rational number.,Recognized an irrational number is non-repeating and non-terminating.
518,"The length of rope Bob cuts in 2 hours is 18 meters more than what he cuts in 0.5 hours, given that the length of rope cut is directly related to the time. How many meters of rope does Bob cut in 2 hours?",A,24 miles,30 miles,72 miles,82 miles,(x + 18)/2 = x/0.5; 0.5x + 9 = 2x; x = 9/1.5 = 6; 18 + (6) = 24,Does not multiply 0.5*18 when simplifying. 2x = 0.5x + 18; x = 18/1.5 = 12; 18 + (12) = 30,Used an incorrect proportion and solved incorrectly. x/2 = 18/0.5; x = 18/0.5 * 2 = 72,Used an incorrect proportion and solved incorrectly. (x + 18)/2 = 18/0.5; 36 = 0.5x + 9; x  = 27/0.5 = 54; incorrectly adds 18 and 54 to get 82.
519,Which statement describes the quotient of 37 ÷ 13 ?,C,The quotient is a nonrepeating decimal that is not a rational number.,The quotient is a nonterminating decimal that is not a rational number.,The quotient is a repeating decimal that is a rational number.,The quotient is a terminating decimal that is a rational number.,Chose incorrect classification and reasoning.,Chose incorrect classification and reasoning.,37/13 = 2.846153846153,Chose incorrect reasoning.
520,A farmer begins with n pounds of grain. She purchases an additional 200 pounds of grain and feeds her livestock 7.2 pounds each day. How much grain did the farmer originally have if all of it is consumed by the livestock in 30 days?,B,1.08 pounds,16 pounds,162.8 pounds,416 pounds,Divided by 200 instead of subtracting.,200 + n = 7.2(30); n = 7.2 * 30 - 200 = 216 - 200 = 16,"Subtracted 30 from 200, then solved and used absolute value.",Added 200 instead of subtracting.
521,"The equation 64 = 8d + 4^2 can be used to find d, the depth of a well. What is the depth of the well?",A,6 units,10 units,24 units,40 units,64 = 8h + 4^2;  h = (64 - 16)/8 = 48/8 = 6,Added 1+M5236 instead of subtracting.,"Divided 64 by 8, then added instead of substracting.",Subtracted 8 from 48 instead of dividing by 8.
522,Which number is the same as (-15)/(-75)?,C, − 1/5 , − 0.15 ,0.2,5,Did not use the correct sign.,"Reduced fraction, then used the numerator and denominator as decimal places and did not use correct sign.",Recognized that -15/-75 reduced to 3/15 which reduced further to 1/5 which is equal to 0.2.,Divided the wrong way.
523,"The heights of the starting lineup for a university volleyball team are shown. Volleyball Team: Alexa - 6 ft. 2 in., Bella - 5 ft. 9 in., Chloe - 6 ft. 0 in., Daniella - 5 ft. 10 in., Emma - 5 ft. 8 in. Which player can substitute for Bella without changing the median height of the lineup?",A,Amanda: 5 feet 10 inches,Erica: 5 feet 11 inches,Megan: 6 feet 0 inches,Stephanie: 6 feet 2 inches,Amanda's height is more than Bella's but the same as Daniella's so the median remains the same.,Chose a height that would become new median.,Used middle number in the table as the median.,Chose a height that changes the data so that the unordered median in the table becomes the actual median.
